,Ravenclaw,Slytherin,Gryffindor,Hufflepuff
Astronomy,-1.0527258702485942,-1.0357581420323068,0.2935929325462015,1.8719793312759487
Herbology,0.41309382335848494,-0.8309096235173077,-0.8920237270446181,1.3865012100688547
Divination,0.1730427532822147,-1.6400055889037606,0.5082651708960915,0.8793281774776509
Muggle Studies,1.3815533203724428,-0.3406808594152218,-0.16425308645045233,-0.9417892841744318
Ancient Runes,1.0138454832236903,-0.5019260053786888,0.8494878721877974,-1.4462117387658142
History of Magic,0.0888565681691286,-0.04471989200196631,-0.8408610832245518,0.8380319815289503
Transfiguration,0.10582943336487027,0.3451531495975771,-1.0451107500429415,0.6389893596377064
Potions,-0.11615780278720098,0.6422124246315837,-0.030199920825396638,-0.4959537472617096
Charms,1.0497799130964034,-0.4918371276573076,-0.3385780872623649,-0.2863089461957018
Flying,-0.16011844048465,-0.4606392302624409,0.9691391528969945,-0.38190692223227574
Bias,-2.130277529578411,-3.0430065551146632,-2.538201683783252,-1.8095785199768581
